epoch,acc,loss,lr,val_acc,val_loss
0,0.8728924717432187,0.07257026089585306,0.001,0.9288471925597817,0.03757088178462406
1,0.9356321949097846,0.03294846273234321,0.001,0.9445433482620801,0.02639903873205185
2,0.943787086893011,0.026439894743861606,0.001,0.9481703127778958,0.022812716692613696
3,0.947223495186111,0.023335573441682408,0.001,0.951562024544379,0.019824070952920596
4,0.9515156364183367,0.019369083350340342,0.001,0.9552827813325865,0.016580089885356277
5,0.9541404009969147,0.01712514779151038,0.001,0.9573548181780008,0.014782651160157943
6,0.9560365377936835,0.015467603144776305,0.001,0.9585870043591109,0.01366276643190489
7,0.9576146720368185,0.01404191457585972,0.001,0.9588417703289691,0.013348749058035453
8,0.9585404836653192,0.01317601170057408,0.001,0.960421843010878,0.011939900626714737
9,0.9595233646255953,0.01226857421706994,0.001,0.9597383776859307,0.01250521563792357
10,0.9600289453878815,0.011782697018201428,0.001,0.9613964253213155,0.010964500190435517
11,0.9605243976837323,0.011306807430415058,0.001,0.9617269041635856,0.010650852007441104
12,0.9610955890865973,0.010760435710925564,0.001,0.9623710051913132,0.010022610886763112
13,0.9614454225441555,0.010427818995796971,0.001,0.9621605944666575,0.010174630591768635
14,0.9620461581665792,0.0098644002702915,0.001,0.9626943129040482,0.00966541067678365
15,0.9622924697619898,0.009629866402929671,0.001,0.9623840429317942,0.009965118999921928
16,0.9625839386825208,0.009345074465935245,0.001,0.9627436357682815,0.009610219604589722
17,0.9627793235359369,0.009149907086400982,0.001,0.9636060059442858,0.00882567536915697
18,0.9630582626035185,0.008888889686204493,0.001,0.9631902610238107,0.009239029545158583
19,0.9633538396454152,0.008603469794903548,0.001,0.964011974255299,0.008408862467930186
20,0.963436823292279,0.008519510256362228,0.001,0.9640886292202782,0.008307411645634111
21,0.9636162208554185,0.008350785818801802,0.001,0.9641589793705593,0.008239927048239752
22,0.9638727444373532,0.008116721798648575,0.001,0.964023804557067,0.008436664903380034
23,0.9640554559451563,0.0079318394921835,0.001,0.964291904057007,0.008127224037655107
24,0.9641698551950632,0.00782228154015302,0.001,0.9643006895582846,0.008092798228006575
25,0.9644731730222702,0.00751706160587707,0.001,0.9647662223502218,0.007650971123114962
26,0.9645095776628565,0.007481605751600898,0.001,0.9642542269310961,0.008239715174616087
27,0.9647273964903973,0.007271107600967365,0.001,0.9648442429688803,0.007553769846554745
