epoch,acc,loss,val_acc,val_loss
0,0.33979984598493834,0.7364132582728362,0.4194244612035134,0.5202295738158467
1,0.403387220893299,0.5175763504059155,0.4561151089856951,0.4553008960305358
2,0.4301000769226435,0.47471004600154154,0.4712230215827338,0.4301494936720073
3,0.4376443418243282,0.43487482219590323,0.4791366896612181,0.39945885449004687
4,0.45450346420323323,0.41256773845795214,0.485611508733077,0.3820641171589172
5,0.46489607396724136,0.3967120422547923,0.4971223041308012,0.36664025539116896
6,0.4769822939897703,0.38213954233866276,0.498561150307278,0.35639724525616323
7,0.4814472670597329,0.37143802300978845,0.5043165459907312,0.3451283652576611
8,0.4929946111751759,0.3593892776846794,0.5071942452046511,0.33913323214585833
9,0.495765973761781,0.3484757212834509,0.5143884904093022,0.3246845049394978
10,0.5063125480405177,0.3376931021174988,0.5273381280384475,0.3165861880607742
11,0.5172440340098644,0.3273270548950075,0.5316546774596619,0.3068815998036227
12,0.5209391839050898,0.31727967660550066,0.5374100703987287,0.2984718223269895
13,0.5328714395046601,0.3080984985810046,0.5424460429939435,0.29023393941440173
14,0.536643572033507,0.29892316417018666,0.5496402895707878,0.2820150425965837
15,0.5420323324946829,0.2911110706334852,0.5503597140312195,0.2759799067493823
16,0.548729792285461,0.28272687548669695,0.5640287760350344,0.2664019389118222
17,0.5502694380200762,0.2757978359124035,0.5625899278002677,0.25964045372369476
18,0.5628945342479439,0.26779811914101115,0.5755395667158443,0.2565498573102539
19,0.5643571977619027,0.2614125895766316,0.5762589904901793,0.24762854636144296
20,0.5705927637194192,0.25477630775923726,0.5812949643718253,0.2412355391456069
21,0.5742879137798307,0.24790620059119087,0.5870503573966541,0.23622905689177753
22,0.584526559010756,0.24176879809442348,0.6007194241173833,0.22603849742909987
23,0.5860662046994862,0.23521668452129996,0.6071942449473648,0.22002717112894538
24,0.5902232486344559,0.22995561935334502,0.6100719434751881,0.21492876575576317
25,0.5954580447047926,0.22463677830196876,0.6086330912096037,0.21460814313065235
26,0.5994611239965555,0.21890676983555432,0.6223021572442363,0.20435378358518477
27,0.6010007699605958,0.2137351447706318,0.6223021572442363,0.1996698477928587
28,0.607005388668815,0.20928425676231663,0.6287769767020246,0.1970596272739575
29,0.6103926098282472,0.2041721458798468,0.6273381291533545,0.1898077074572337
30,0.6201693609643661,0.19943277194602752,0.6388489231788855,0.18678293946406824
31,0.6137028483907657,0.1953503684322131,0.6352517995045339,0.18450503308567212
32,0.6277136259027588,0.19154928861626117,0.6517985614083653,0.17670162525966013
